cityid,siteid
110100,1001
110100,1002
110100,1003
110100,1004
110100,1005
110100,1006
110100,1007
110100,1008
110100,1009
110100,1010
110100,1011
110100,1012
120100,1013
120100,1014
120100,1015
120100,1016
120100,1017
120100,1018
120100,1019
120100,1020
120100,1021
120100,1023
120100,1024
120100,1025
120100,1026
120100,1027
130100,1028
130100,1029
130100,1030
130100,1031
130100,1032
130100,1033
130100,1034
130100,1035
130200,1036
130200,1037
130200,1038
130200,1039
130200,1040
130200,1041
130300,1042
130300,1043
130300,1044
130300,1045
130300,1046
130400,1047
130400,1048
130400,1049
130400,1050
130600,1051
130600,1052
130600,1053
130600,1054
130600,1055
130600,1056
130700,1057
130700,1058
130700,1059
130700,1060
130700,1061
130800,1062
130800,1063
130800,1064
130800,1065
130800,1066
131000,1067
131000,1068
131000,1069
131000,1070
130900,1071
130900,1072
130900,1073
131100,1074
131100,1075
131100,1076
130500,1077
130500,1078
130500,1079
130500,1080
140100,1081
140100,1082
140100,1083
140100,1084
140100,1085
140100,1086
140100,1087
140100,1088
140100,1089
150100,1090
150100,1091
150100,1092
150100,1093
150100,1094
150100,1095
150100,1096
150100,1097
210100,1098
210100,1099
210100,1100
210100,1101
210100,1102
210100,1103
210100,1104
210100,1105
210100,1106
210100,1107
210100,1108
210200,1109
210200,1110
210200,1111
210200,1112
210200,1113
210200,1114
210200,1115
210200,1116
210200,1117
210200,1118
220100,1119
220100,1120
220100,1121
220100,1122
220100,1123
220100,1124
220100,1125
220100,1126
220100,1127
220100,1128
230100,1129
230100,1130
230100,1131
230100,1132
230100,1133
230100,1134
230100,1135
230100,1136
230100,1137
230100,1138
230100,1139
230100,1140
310100,1141
310100,1142
310100,1143
310100,1144
310100,1145
310100,1146
310100,1147
310100,1148
310100,1149
310100,1150
320100,1151
320100,1152
320100,1153
320100,1154
320100,1155
320100,1156
320100,1157
320100,1158
320100,1159
320500,1160
320500,1161
320500,1162
320500,1163
320500,1164
320500,1165
320500,1166
320500,1167
320600,1168
320600,1169
320600,1170
320600,1171
320600,1172
320700,1173
320700,1174
320700,1175
320700,1176
320300,1177
320300,1178
320300,1179
320300,1180
320300,1181
320300,1182
320300,1183
321000,1184
321000,1185
321000,1186
321000,1187
320200,1188
320200,1189
320200,1190
320200,1191
320200,1192
320200,1193
320200,1194
320200,1195
320400,1196
320400,1197
320400,1198
320400,1199
320400,1200
320400,1201
321100,1202
321100,1203
321100,1204
321100,1205
321200,1206
321200,1207
321200,1208
321200,1209
320800,1210
320800,1211
320800,1212
320800,1213
320800,1214
320900,1215
320900,1216
320900,1217
320900,1218
321300,1219
321300,1220
