FNNumber,RS1,RS2,Count
458,变流柜风扇故障,1.2 风扇旋向不对或风道堵塞,1
458,Driver板损坏,DRIVE板损坏,27
458,1U1、2U1、3U1、4U模块故障,主断路器跳闸、2U1模块损坏,3
458,其它,冷凝故障,1
458,变流系统故障,变流87电机保护,1
458,1 正确反馈,变流器故障,1
458,1 正确反馈,备件损坏,1
458,1 正确反馈,断路器复位按钮弹出,1
458,1 正确反馈,浪涌保护器损坏,2
458,1 正确反馈,风扇损坏,1
458,Driver板损坏,2U1模块损坏,1
458,Driver板损坏,DRIVE板损坏,27
458,Driver板损坏,保险损坏,2
458,Driver板损坏,制动单元损坏,1
458,Driver板损坏,干扰问题,1
458,Driver板损坏,控制版损坏,1
458,Driver板损坏,线路虚接,3
458,主断路器复位按钮动作异常,W相块容损坏,1
458,主断路器复位按钮动作异常,制动单元损坏,1
458,发电机故障,发电机3U1故障,1
458,变流系统故障,变流器内部异常信号触发,1
458,断路器故障,断路器保护动作,2
458,主断路器复位按钮动作异常,断路器保护,2
458,主断路器复位按钮动作异常,断路器吸合失败,3
458,主断路器复位按钮动作异常,断路器复位按钮弹出,8
458,主断路器复位按钮动作异常,断路器故障,1
458,主断路器复位按钮动作异常,机组报87号故障,1
458,其它,欠压线圈损坏,2
458,主断路器复位按钮动作异常,湿度大,1
458,主断路器复位按钮动作异常,电流监测模块损坏,2
458,浪涌保护器故障,电涌保护器辅助触点失效,1
458,主断路器复位按钮动作异常,程序问题,2
458,主断路器复位按钮动作异常,线路虚接,5
458,主断路器复位按钮动作异常,脱扣器故障,3
458,主断路器复位按钮动作异常,设计缺陷,1
458,主断路器复位按钮动作异常,过流故障,2
458,主断路器复位按钮动作异常,预充电回路器件失效,1
458,传感器故障,2U1继电器故障,1
458,传感器故障,K9损坏,1
458,传感器故障,PT100损坏,1
458,传感器故障,凝露传感器失效,1
458,传感器故障,断路器损坏,3
458,传感器故障,线路虚接,4
458,传感器故障,质量问题,2
458,传感器故障,霍尔传感器损坏,8
458,信号干扰、干扰问题,变流器内部器件损坏,1
458,信号干扰、干扰问题,备件损坏,1
458,信号干扰、干扰问题,干扰问题,3
458,UPS模块故障,水冷UPS模块损坏、未启动、输出异常,9
458,信号干扰、干扰问题,湿度大,1
458,信号干扰、干扰问题,线路虚接,4
458,发电机绝缘失效,发电机绝缘低,1
458,发电机绝缘失效,发电机绝缘击穿、过流跳闸或发电机损坏,4
458,发电机绝缘失效,发电机绝缘盖板发生损坏,1
458,发电机故障,发电机开关柜温度低,1
458,变流系统故障,变流器散热不好,1
458,变流系统故障,变流器柜体湿度感应器测量有误差,1
458,变流器湿度、温度异常,变流器水温低,1
458,变流器湿度、温度异常,变流器湿度开关不灵敏,1
458,变流器湿度、温度异常,变流器湿度开关损坏,2
458,变流系统故障,变流器漏水,1
458,变流系统故障,变流柜散热风扇失效,1
458,变流系统故障,变流柜湿度开关调节太小,2
458,变流器湿度、温度异常,变流系统湿度大,4
458,变流器湿度、温度异常,塔筒门密封不严,2
458,变流器湿度、温度异常,柜体内有少量冷却液,1
458,变流器湿度、温度异常,电涌保护器损坏,1
458,其它,10号子站故障,1
458,1U1、2U1、3U1、4U模块故障,主断路器跳闸、2U1模块损坏,3
458,变流器紧急停机,1U1功率模块损坏,1
458,1U1、2U1、3U1、4U模块故障,主断路器跳闸、2U1模块损坏,3
458,变流器紧急停机,2U1模块损坏、炸毁,5
458,1U1、2U1、3U1、4U模块故障,检查4U1输出继电器4K1是否得电，触点13、14是否导通,1
458,1U1、2U1、3U1、4U模块故障,4U1制动电阻温度高,1
458,Driver板损坏,ASIC板 DRIVE板损坏,6
458,Driver板损坏,DRIVE板损坏,27
458,其它,PLC模块死机,1
458,其它,V相电流传感器损坏,1
458,其它,三通阀未全部关闭,1
458,其它,三通阀触点不灵敏,1
458,其它,二极管整流桥损坏,1
458,变流器紧急停机,元件损坏,1
458,其它,制动单元下方快熔损坏,1
458,变流器紧急停机,制动电阻损坏,1
458,变流器紧急停机,发电机侧整流器损坏,1
458,发电机故障,发电机绕组接地,1
458,变流器紧急停机,变流器3U1单元报87#故障,1
458,1U1、2U1、3U1、4U模块故障,3U1单元报87#故障,1
458,UPS模块故障,水冷UPS模块损坏，无230V输出,1
458,变流系统故障,变流器控制器死机,1
458,变流器紧急停机,变流器故障,1
458,变流系统故障,变流器湿度大,1
458,变流系统故障,变流器程序异常,1
458,变流器紧急停机,变流器紧急停机,4
458,变流系统故障,变流器调制器前RDY RUN 丢失,1
458,变流器紧急停机,变流器通讯出现问题,1
458,变流器紧急停机,干扰问题,2
458,其它,开关柜炸毁,1
458,变流器紧急停机,断路器跳闸故障,5
458,变流器紧急停机,无,1
458,其它,机侧整流单元损坏,1
