Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,Onsidekick,PuntResult,PlayType,Passer,Passer_ID,PassAttempt,PassOutcome,PassLength,AirYards,YardsAfterCatch,QBHit,PassLocation,InterceptionThrown,Interceptor,Rusher,Rusher_ID,RushAttempt,RunLocation,RunGap,Receiver,Receiver_ID,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,HomeTeam,AwayTeam,Timeout_Indicator,Timeout_Team,posteam_timeouts_pre,HomeTimeouts_Remaining_Pre,AwayTimeouts_Remaining_Pre,HomeTimeouts_Remaining_Post,AwayTimeouts_Remaining_Post,No_Score_Prob,Opp_Field_Goal_Prob,Opp_Safety_Prob,Opp_Touchdown_Prob,Field_Goal_Prob,Safety_Prob,Touchdown_Prob,ExPoint_Prob,TwoPoint_Prob,ExpPts,EPA,airEPA,yacEPA,Home_WP_pre,Away_WP_pre,Home_WP_post,Away_WP_post,Win_Prob,WPA,airWPA,yacWPA,Season
2012-09-16,2012091607,23,4,1.0,06:53,7,413.0,0.0,JAC,36.0,64.0,5,11,0.0,1.0,JAC,HOU,"(6:53) PENALTY on JAC-U.Nwaneri, False Start, 5 yards, enforced at JAC 36 - No Play.",1,0,0,0,,,,0,0,,No Play,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,,,,,,,,0,,,0,0,,1,JAC,False Start,U.Nwaneri,5,7.0,27.0,-20.0,20.0,JAC,HOU,0,None,3,3,3,3,3,0.22281872036401315,0.08471262203745468,0.0011436034664448515,0.12549006955696546,0.19594343596603286,0.002255690319670364,0.3676358582894186,0.0,0.0,2.0309371366193574,-0.7222383479697223,,,0.02457948292096763,0.9754205170790324,0.018799263870470817,0.9812007361295292,0.02457948292096763,-0.005780219050496811,,,2012
2013-11-17,2013111708,22,4,2.0,01:48,2,108.0,6.0,TB,6.0,6.0,6,80,1.0,0.0,ATL,TB,"(1:48) (Shotgun) M.Ryan pass short right to R.White to TB 1 for 5 yards (L.David). FUMBLES (L.David), recovered by ATL-L.Toilolo at TB 1. L.Toilolo to TB 1 for no gain (L.David). The Replay Assistant challenged the runner broke the plane ruling, and the play was REVERSED. (Shotgun) M.Ryan pass short right to R.White for 6 yards, TOUCHDOWN.",1,5,1,1,,,,0,0,,Pass,M.Ryan,00-0026143,1,Complete,Short,5,1,0,right,0,,,None,0,,,R.White,00-0023462,1,,,,L.David,,,,1,ATL,L.Toilolo,0,1,Reversed,0,,,,0,21.0,40.0,-19.0,19.0,TB,ATL,0,None,2,1,2,1,2,0.13370586163944606,0.009055851376258516,3.212674530291258e-05,0.005207901801917946,0.427100489504698,0.0006198504769556116,0.424277918455421,0.0,0.0,4.188799478423145,-3.1980040779687138,0.6422794864359904,-3.8402835644047046,0.9914871485647928,0.00851285143520729,0.984101471136674,0.015898528863326114,0.00851285143520729,0.007385677428118824,0.0005677957828414648,0.00681788164527736,2013
2013-09-29,2013092901,15,4,4.0,14:29,15,869.0,31.0,CLE,11.0,89.0,19,-9,0.0,1.0,CLE,CIN,"(14:29) S.Lanning punts 51 yards to CIN 38, Center-C.Yount, fair catch by B.Tate.",1,0,0,0,,,,0,0,Clean,Punt,,None,0,,,0,0,0,,0,,,None,0,,,,None,0,Fair Catch,B.Tate,,,,,,0,,,0,0,,0,,,,0,10.0,6.0,4.0,4.0,CLE,CIN,0,None,3,3,2,3,2,0.0564720138838637,0.3180772704377888,0.011518306237603587,0.4379851118071804,0.04192302733991144,0.0037036711914898335,0.1303205991021621,0.0,0.0,-2.997743588320988,0.8388608742612806,,,0.5062422821185739,0.4937577178814261,0.5806179046565408,0.4193820953434592,0.5062422821185739,0.07437562253796692,,,2013
2017-11-02,2017110200,7,2,1.0,13:32,14,2612.0,39.0,NYJ,37.0,63.0,10,18,0.0,0.0,NYJ,BUF,(13:32) E.McGuire left end pushed ob at NYJ 39 for 2 yards (J.Poyer).,1,2,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,E.McGuire,00-0033295,1,left,end,,None,0,,,,J.Poyer,,,,0,,,0,0,,0,,,,0,7.0,7.0,0.0,0.0,NYJ,BUF,0,None,2,2,3,2,3,0.05308656838823859,0.11153458273208816,0.0014538665805843766,0.16762195549858164,0.2665791425810989,0.003307556215086526,0.39641632800432186,0.0,0.0,2.070401666356218,-0.38862277753483054,,,0.5171754709763541,0.4828245290236459,0.5052495714021182,0.4947504285978818,0.5171754709763541,-0.011925899574235843,,,2017
2013-12-15,2013121503,22,4,1.0,05:53,6,353.0,34.0,BUF,29.0,29.0,10,52,0.0,0.0,JAC,BUF,(5:53) (No Huddle) J.Todman up the middle to BUF 28 for 1 yard (K.Alonso).,1,1,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,J.Todman,00-0028121,1,middle,,,None,0,,,,K.Alonso,,,,0,,,0,0,,0,,,,0,20.0,27.0,-7.0,7.0,JAC,BUF,0,None,2,2,3,2,3,0.11834518960814193,0.03653153738384937,6.0638546688424196e-05,0.05368750379813449,0.32039833056598743,0.0024040350916797733,0.4685727650055186,0.0,0.0,3.7604840010880856,-0.4235603661344278,,,0.3440318095296604,0.6559681904703396,0.3175176754649008,0.6824823245350993,0.3440318095296604,-0.02651413406475961,,,2013
2014-11-30,2014113011,2,1,3.0,09:02,10,3242.0,0.0,KC,23.0,23.0,5,74,0.0,0.0,DEN,KC,"(9:02) (Shotgun) P.Manning pass deep left to D.Thomas for 23 yards, TOUCHDOWN.",1,23,1,1,,,,0,0,,Pass,P.Manning,00-0010346,1,Complete,Deep,21,2,0,left,0,,,None,0,,,D.Thomas,00-0027874,1,,,,,,,,0,,,0,0,,0,,,,0,0.0,0.0,0.0,0.0,KC,DEN,0,None,2,3,2,3,2,0.0017517178517527194,0.048899834136043104,0.00015504802420212104,0.07873642188522383,0.4970251184364148,0.0035135243652324147,0.3699183353011311,0.0,0.0,3.3893661994945266,3.6106338005054734,1.7910724502873072,1.819561350218167,0.4207615928342173,0.5792384071657827,0.2943385926187031,0.7056614073812969,0.5792384071657827,0.12642300021551425,0.0627400681091752,0.06368293210633902,2014
2012-10-14,2012101407,16,3,2.0,08:58,9,1438.0,32.0,ARI,33.0,67.0,3,13,0.0,1.0,ARI,BUF,(8:58) W.Powell right tackle to ARI 39 for 6 yards (M.Dareus; G.Wilson).,1,6,0,0,,,,0,0,,Run,,None,0,,,0,0,0,,0,,W.Powell,00-0028736,1,right,tackle,,None,0,,,,M.Dareus,G.Wilson,,,0,,,0,0,,0,,,,0,10.0,9.0,1.0,1.0,ARI,BUF,0,None,3,3,3,3,3,0.005246842130337252,0.1415087721150986,0.002371317421199649,0.21345413230859586,0.2413522249776137,0.0038651662845732592,0.3922015447625816,0.0,0.0,1.5537499434921926,0.6325013439097606,,,0.5676287007330015,0.4323712992669985,0.5895467163186001,0.4104532836813999,0.5676287007330015,0.021918015585598586,,,2012
2011-12-12,2011121200,22,4,1.0,01:36,2,96.0,24.0,STL,42.0,58.0,10,32,0.0,1.0,STL,SEA,"(1:36) (No Huddle, Shotgun) S.Bradford pass short left to S.Jackson to SEA 45 for 13 yards (R.Lewis) [C.McDonald].",1,13,0,0,,,,0,0,,Pass,S.Bradford,00-0027854,1,Complete,Short,-4,17,1,left,0,,,None,0,,,S.Jackson,00-0022736,1,,,,,,,,0,,,0,0,,0,,,,0,13.0,29.0,-16.0,16.0,SEA,STL,0,None,1,2,1,2,1,0.5386749485603963,0.03969689205349575,0.0007331795993507388,0.02875439810762868,0.20845575026161844,0.0006365442842916867,0.1830482871332183,0.0,0.0,1.5861405271733773,0.5196421682427719,-0.4950243958425915,1.0146665640853634,0.9935842678219092,0.00641573217809089,0.9944457551537214,0.00555424484627864,0.00641573217809089,-0.0008614873318122506,-0.0009776786333244797,0.00011619130151222912,2011
2015-10-04,2015100407,13,2,3.0,05:05,6,2105.0,38.0,BUF,13.0,87.0,4,0,0.0,0.0,BUF,NYG,"(5:05) (Shotgun) T.Taylor pass short left to C.Clay pushed ob at BUF 28 for 15 yards (J.Casillas). Caught near sideline at BUF 21. PENALTY on BUF-C.Clay, Offensive Pass Interference, 6 yards, enforced at BUF 13 - No Play.",1,15,0,0,,,,0,0,,No Play,T.Taylor,None,1,Complete,Short,0,0,0,left,0,,,None,0,,,C.Clay,None,1,,,,J.Casillas,,,,0,,,0,0,,1,BUF,Offensive Pass Interference,C.Clay,6,3.0,16.0,-13.0,13.0,BUF,NYG,0,None,3,3,3,3,3,0.4017056587785514,0.14954281827237545,0.007093477583926208,0.21191103525174596,0.07165197480923974,0.0019987881921226247,0.15609624711203854,0.0,0.0,-0.6345654261509659,-0.5741051861554798,,,0.11937976302451885,0.8806202369754812,0.11110731644180843,0.8888926835581916,0.11937976302451885,-0.008272446582710397,,,2015
2009-11-15,2009111510,1,1,2.0,14:19,15,3559.0,36.0,GB,29.0,71.0,6,5,0.0,0.0,GB,DAL,"(14:19) (Pass formation) A.Rodgers to GB 27 for -2 yards. FUMBLES, and recovers at GB 27. A.Rodgers pass incomplete short right to J.Jones. PENALTY on GB-A.Rodgers, Intentional Grounding, 10 yards, enforced at GB 29.",1,-2,0,0,,,,0,0,,Pass,A.Rodgers,00-0023459,1,Incomplete Pass,Short,-2,0,0,right,0,,,None,0,,,J.Jones,00-0025465,0,,,,,,,,1,GB,A.Rodgers,0,0,,1,GB,,A.Rodgers,10,0.0,0.0,0.0,0.0,GB,DAL,0,None,3,3,3,3,3,0.0015620668569727902,0.16729525661638092,0.003830633948129249,0.2590631870395413,0.2289791473030494,0.003998383814413636,0.33527132442151264,0.0,0.0,0.718844133466374,-2.484953653177457,-1.3364676582672226,-1.1484859949102344,0.4996233348725558,0.5003766651274442,0.4268129691614473,0.5731870308385527,0.4996233348725558,-0.0728103657111085,-0.03857661322526995,-0.034233752485838535,2009
