country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
Italy,"There are soapy, grassy elements to the bouquet of this easy Grigio that help shape its perky, cheerful personality. The mouthfeel is clean and simple but the wine does a great job of keeping your palate clean.",Angelo Pittaro,86,,Northeastern Italy,Friuli Grave,,,,Cantina San Martino 2007 Angelo Pittaro Pinot Grigio (Friuli Grave),Pinot Grigio,Cantina San Martino
US,"Grape fruit leather, dense violets, black slate and a hint of barnyard aromas make for an interesting, purple-leaning nose on this wine. The palate is quite herbal, tinged with dried oregano as well as a berry-juice ripeness.",,86,34.0,California,Carmel Valley,Central Coast,Matt Kettmann,@mattkettmann,Joullian 2012 Cabernet Sauvignon (Carmel Valley),Cabernet Sauvignon,Joullian
Spain,"Grassy and pungent, with lime, citrus and white pepper on the nose. Tangy and simple across the palate, with basic pineapple and passion fruit flavors. Good but thins out on the finish, leaving leftover acidity.",,86,15.0,Northern Spain,Rueda,,Michael Schachner,@wineschach,Mania 2008 Verdejo (Rueda),Verdejo,Mania
Italy,"This opens with subtle aromas of wild flower and a whiff of exotic fruit. The bright fruity palate offers white peach, apple and a hint of honeydew melon. It's straightforward and refreshing.",Ventidue,93,35.0,Southern Italy,Fiano di Avellino,,Kerin O’Keefe,@kerinokeefe,Villa Raiano 2014 Ventidue  (Fiano di Avellino),Fiano,Villa Raiano
US,"This wine displays a broader fruit profile than The Rocks is often known for, with aromas of plum leading to crushed rock, cracked pepper, olive, herbs and smoked meat. The texture is captivating, both elegant in its styling yet rich, commanding attention with floral notes on the finish.",Armada Vineyard,95,90.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Cayuse 2012 Armada Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Cayuse
Italy,"Aromas of underbrush, espresso, spiced plum and toasted oak lead the nose. The smooth palate doles out juicy black cherry, coffee, vanilla, cinnamon and mocha alongside firm, polished tannins and bright acidity. Hold for complexity. Drink 2016–2023.",Rocche dell'Annunziata,91,66.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Mario Gagliasso 2008 Rocche dell'Annunziata  (Barolo),Nebbiolo,Mario Gagliasso
US,"A taste of black plum, tar and tobacco is most prominent in this wine. It's dense on the palate, medium in length and yet proffers a lift of acidity toward the finish, a sprinkling of varietal white pepper lingering provocatively. From near Spring Mountain, the grapes reflect a relative coolness, wrapped in concentration.",,91,38.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Four Cairn 2012 Syrah (Napa Valley),Syrah,Four Cairn
France,"While the alcohol says rich, the wine is in fact fresh and fruity. It's medium dry, although with a drier character from the spice and smokiness. It's ready to drink.",Tradition,85,27.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Schoffit 2013 Tradition Pinot Gris (Alsace),Pinot Gris,Domaine Schoffit
France,"A juicy, fruity, soft wine, it has a gentle tannic character. Red berry flavors, soft acidity and fresh texture combine to give a light wine that will be ready to drink soon. Drink from 2015.",,85,24.0,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château du Taillan 2011  Haut-Médoc,Bordeaux-style Red Blend,Château du Taillan
US,"The aromas are light, with notes of freshly cut apple and spice. It drinks dry with elegantly styled fruit flavors that linger on the finish. It shows a very pretty styling.",Atavus Vineyard,88,27.0,Washington,Columbia Gorge (WA),Washington Other,Sean P. Sullivan,@wawinereport,Analemma 2014 Atavus Vineyard Gewürztraminer (Columbia Gorge (WA)),Gewürztraminer,Analemma
Spain,"Dark smoky, stout aromas of licorice, molasses and blackberry feed into a jammy palate with rock-hard, clamping tannins. Plum, blackberry and blueberry flavors are loud and intense, while this finishes with density, complexity, chewy tannins and a jammy essence. Drink through 2028.",Reserva,92,50.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Alidis 2011 Reserva  (Ribera del Duero),Tempranillo,Alidis
US,"Bright and clean with scents of fresh apples and quince preserves, this dry, full bodied Chardonnay has pleasant apple and lemon flavors, but could use a boost of intensity in the midpalate. Finishes on a puckery, slightly bitter note.",,83,12.0,New York,Cayuga Lake,Finger Lakes,Anna Lee C. Iijima,,Hosmer 2009 Chardonnay (Cayuga Lake),Chardonnay,Hosmer
Italy,"A pure expression of Primitivo, this shows slightly muddled aromas at first that slowly open to show clear portraits of Indian spice, cherry, ripe blackberry, prune and candied fruit. The finish is round, soft and chewy.",,87,50.0,Southern Italy,Gioia del Colle,,,,Terra Jovia 2007 Primitivo (Gioia del Colle),Primitivo,Terra Jovia
US,"With lots of sweet oak, this is a simple Chardonnay. It's marked by buttered toast, caramel, vanilla and pineapple jam flavors that will appeal to fans of this ripe California style.",Reserve,83,24.0,California,Dry Creek Valley,Sonoma,,,Bedarra 2009 Reserve Chardonnay (Dry Creek Valley),Chardonnay,Bedarra
France,"This grand estate was once a hunting ground for an even grander nearby chateau. The cru wine that's now produced here is crisp and fruity, streaked through with acidity and red currants. It has a touch of tannin as well as minerality. Drink from late 2017.",Château de Nervers,87,20.0,Beaujolais,Brouilly,,Roger Voss,@vossroger,Georges Duboeuf 2015 Château de Nervers  (Brouilly),Gamay,Georges Duboeuf
Chile,"Wild berry, herb and rhubarb aromas precede a wiry, grabby palate with generic berry flavors, herbal accents and spice. Juicy, tartaric-feeling acidity creates a tangy impression on the finish, yet there's enough body and good flavors to hold things together.",,85,11.0,Colchagua Valley,,,Michael Schachner,@wineschach,Tussock Jumper 2010 Carmenère (Colchagua Valley),Carmenère,Tussock Jumper
France,"A fruity style of wine, this has red berry flavors and only touches of structure and tannin. The wine is warm and round, packed with fruit on the finish.",,88,26.0,Burgundy,Marsannay,,Roger Voss,@vossroger,Domaine Sylvain Pataille 2010  Marsannay,Pinot Noir,Domaine Sylvain Pataille
US,"This 100% Cab Franc shows the lush, sweet cherry flavors you expect from the variety, along with with soft, luxurious tannins. It's also very oaky. The bottom line is a gentle, fruity wine to drink now.",Hendry Blocks 9D & 26,87,38.0,California,Napa Valley,Napa,,,Hendry 2009 Hendry Blocks 9D & 26 Cabernet Franc (Napa Valley),Cabernet Franc,Hendry
US,"An unusually dark color, even for this notoriously black varietal, makes this powerful wine stand out from the first glance. Full bodied, it piles on the flavor and layers of tannic texture in a bold but pleasing way. Rich, concentrated blackberry, dark chocolate, wood smoke and baking-spice notes fill the mouth and linger on the long finish. It will be best after 2020.",Heine,93,48.0,California,Livermore Valley,Central Coast,Jim Gordon,@gordone_cellars,Vasco Urbano 2013 Heine Petite Sirah (Livermore Valley),Petite Sirah,Vasco Urbano
